item_id,price,stock,description,type_id
10001,19.7,20,"Tiki Cat King Kamehameha Grill Variety Pack",1
10002,29.99,10,"ORIJEN Original Grain-Free Dry Cat Food",1
10003,6.99,25,"ORIJEN Original Grain-Free Freeze-Dried Cat Treats",1
10004,24.21,2,"Catcus Cat Scratching Post",1
10005,64.99,1,"54-in Cat Scratching Tree",1
10006,31.71,2,"20-in Faux Fur Cat Tree",1
10007,15.07,4,"EZ Mount Cat Window Perch",1
10008,19.9,2,"Rascador Cat Scratcher, Large",1
10009,56.63,1,"Animal Series Cat Condo, Llama",1
10010,11.58,5,"Double-Sided Ceramic Elevated Cat Bowl",1
10011,22.82,3,"Flower Plastic Cat Fountain",1
10012,5.86,4,"Coastal Fish Non-Skid Ceramic Cat Bowl",1
10013,11.45,3,"Pearl Pet Cafe Gravity Refill Dog & Cat Waterer",1
10014,9.28,3,"Catnip Yellow Banana Cat Toy",1
10015,5.14,20,"Mice Plush Cat Toy with Catnip",1
10016,10.23,6,"Butterfly Cat Tracks Cat Toy",1
10017,12.79,4,"Petstages Buggin Out Puzzle&Play Cat Toy",1
10018,6.99,20,"Nano Robotic Cat Toy",1
10019,11.35,3,"Colorful Peek-a-Boo Foldable Tri-Tunnel Cat Toy",1
10020,3.99,10,"SmartyKat Flutter Balls Feathery Cat Toy",1
10021,138.99,5,"Revolution Plus Topical Solution for Cats",1
10022,5.22,10,"Drontal Tablets for Cats&Kittens",1
10023,14.48,5,"Soft Beef&Filet Mignon Recipe Dog Treats",2
10024,49.98,5,"+Plus Adult High-Protein Healthy Weight Formula Dry Dog Food",2
10025,12.74,5,"Stainless Steel Personalized Dog&Cat ID Tag",2
